MyRacket.x,MyRacket.y,MyRacket.z,OpponentRacket.x,OpponentRacket.y,OpponentRacket.z,Ball.x,Ball.y,Ball.z,Step0,Step1,Step2,Reward
-0.8213005,2.066139,15.96621,2.474767,1.77269,-13.96325,-0.8213005,3.720085,2.19782,2.48333,0.05009364,-2.016139,0.000191903
-4.158818,1.753629,10.47826,1.833769,1.842918,-14.28354,-5.18355,2.183999,8.165771,6.851713,-0.6524355,-2.618492,0.000928561
-5.105425,2.246913,9.150887,1.833769,1.842918,-14.28354,-5.719243,2.627759,8.898647,,,,0.000928561
-5.105425,2.246913,9.150887,1.833769,1.842918,-14.28354,-5.719243,2.627759,8.898647,,,,0.1020877
-3.928014,2.170624,10.95808,4.072494,1.842918,-14.28354,4.072494,1.068866,-4.56932,-5.78354,0.9999446,0.1346712,0.00663923
-2.087693,2.08162,13.06647,15.30644,0.8021532,-11.83689,15.49619,1.933905,-20.28196,-7.4533,1.146816,1.002569,0.006689718
-1.509308,2.053647,13.72911,29.28894,0.1308637,-12.03379,26.91988,-0.22113,-35.9946,-7.432143,1.110038,1.149979,0.006689719
-1.509308,2.053647,13.72911,43.27149,-0.5404258,-12.23069,38.34361,-7.183067,-51.70724,-7.414631,1.069493,1.237353,0.006689719
-1.509308,2.053647,13.72911,47.26651,-0.7322228,-12.28695,41.33443,-9.8,-55.82093,,,,0.6622822
0.1501126,2,15,2.944343,2,-15,2.944343,1.699142,-5.099733,-5.946361,1.051159,0.1377055,0.009387495
3.49558,2,15,3.349601,1.261941,-13.48052,3.49558,1.889287,-10.05464,-7.024806,1.156042,0.7771932,0.009370001
1.538559,2,15,1.79832,1.625167,-14.22832,1.538559,2.461178,-0.1365784,-2.78728,0.6645115,-1.125525,0.00706686
-0.1593653,1.409491,10.67973,1.79832,1.625167,-14.22832,-0.4743768,1.454454,10.06486,4.983308,-0.3931918,-2.865674,0.001256807
-0.2627116,1.424242,10.47801,1.79832,1.625167,-14.22832,-0.5061271,1.49279,10.22577,,,,0.001256807
-0.2627116,1.424242,10.47801,1.79832,1.625167,-14.22832,-0.5061271,1.49279,10.22577,,,,0.1437618
-0.3542331,1.757133,13.09251,3.968004,1.625167,-14.22832,3.968004,2.013562,-0.7598026,-5.582679,0.9194551,-0.436563,0.009324072

